typ;px;langd_m;bredd_m;azimut;topp_m;takmedian_m;kanal;E_min;E_max;N_min;N_max;E_centrum;N_centrum;korsar_tilegrans
LINJE;46;18.9;4.2;112.4;89.5;21.5;bygg;672809;672823;6578062;6578070;672816;6578066;0
LINJE;147;70.4;3.7;127.5;87.5;18.0;bygg+veg;677631;677678;6578333;6578370;677656;6578350;0
LINJE;60;30.2;3.1;105.9;86.0;8.0;veg;676355;676380;6579820;6579829;676368;6579825;0
LINJE;174;72.9;3.9;150.1;74.5;13.0;bygg+veg;668391;668423;6583494;6583549;668407;6583523;0
LINJE;265;106.5;5.5;36.0;70.0;17.5;bygg+veg;678854;678911;6579389;6579467;678879;6579421;0
LINJE;127;36.9;6.3;35.4;69.0;14.5;bygg+veg;676809;676829;6583514;6583541;676820;6583529;0
LINJE;95;47.2;3.2;127.0;69.0;20.0;bygg+veg;672751;672782;6582852;6582877;672767;6582864;1
LINJE;263;116.9;3.6;45.9;68.5;13.5;bygg+veg;670902;670975;6575390;6575461;670937;6575423;0
LINJE;73;29.4;7.1;175.6;68.0;16.5;veg;674870;674880;6579798;6579821;674875;6579811;0
LINJE;258;90.1;4.0;177.0;67.5;17.5;bygg+veg;675772;675779;6579287;6579364;675775;6579324;0
LINJE;251;114.0;3.7;135.2;64.5;11.5;bygg+veg;666651;666720;6585175;6585243;666688;6585207;0
LINJE;298;116.1;4.7;70.8;64.5;20.5;bygg+veg;673041;673132;6579322;6579357;673089;6579340;0
LINJE;208;90.1;4.0;109.4;63.5;20.0;bygg+veg;672799;672869;6582856;6582883;672838;6582869;0
LINJE;156;69.7;4.2;40.8;63.0;22.5;bygg+veg;676342;676384;6582721;6582768;676361;6582743;1
LINJE;53;34.7;2.9;42.4;62.5;17.5;veg;678890;678910;6579431;6579452;678900;6579442;0
LINJE;172;84.2;3.3;104.7;62.0;15.5;veg;676942;677010;6577664;6577684;676974;6577675;0
LINJE;121;42.8;6.5;66.2;62.0;11.5;bygg+veg;670520;670557;6577256;6577274;670540;6577264;0
LINJE;123;51.3;4.5;126.3;61.5;21.5;bygg+veg;672357;672392;6582403;6582429;672374;6582416;0
LINJE;47;30.7;2.5;48.6;59.5;12.5;veg;666465;666485;6575000;6575017;666476;6575009;0
LINJE;117;53.5;4.0;125.5;58.5;21.5;bygg+veg;672405;672444;6582366;6582392;672425;6582379;0
LINJE;74;42.6;2.7;35.3;58.0;17.0;veg;675182;675202;6579593;6579624;675192;6579610;0
LINJE;183;80.8;4.4;47.0;57.5;13.5;bygg+veg;670955;671007;6575287;6575335;670984;6575313;0
LINJE;313;105.4;7.3;61.1;57.5;18.5;bygg+veg;674369;674452;6580666;6580714;674404;6580686;0
LINJE;351;89.4;11.4;62.8;57.0;17.0;bygg+veg;674727;674796;6579969;6580010;674761;6579988;0
LINJE;248;97.8;4.5;71.0;56.0;20.5;bygg+veg;673046;673123;6579256;6579285;673088;6579271;0
LINJE;26;19.3;2.4;106.0;56.0;18.5;bygg;674444;674459;6580657;6580662;674452;6580660;0
LINJE;80;49.0;2.7;48.6;55.5;12.5;veg;666486;666519;6575019;6575046;666502;6575032;0
LINJE;127;70.8;9.0;61.5;54.0;9.5;veg;666890;666954;6575291;6575323;666924;6575309;0
LINJE;204;85.2;4.2;54.2;53.5;12.0;bygg+veg;671353;671412;6575207;6575250;671380;6575227;0
LINJE;53;42.1;2.9;88.9;53.5;19.5;bygg+veg;676977;677010;6578616;6578619;676994;6578617;0
LINJE;156;52.0;6.0;94.3;53.0;19.5;bygg+veg;677011;677055;6578614;6578623;677034;6578618;0
LINJE;151;80.9;3.1;90.5;52.0;23.0;veg;676947;677013;6583088;6583091;676978;6583089;0
LINJE;27;21.8;2.6;72.5;52.0;11.5;veg;670557;670573;6577267;6577274;670566;6577270;0
LINJE;236;81.1;5.4;41.5;51.0;20.5;bygg+veg;673224;673275;6581109;6581164;673247;6581135;0
LINJE;35;24.1;2.8;168.1;51.0;14.0;veg;675432;675438;6577345;6577363;675435;6577354;0
LINJE;181;75.7;4.1;177.4;51.0;11.5;bygg+veg;666745;666751;6585166;6585228;666748;6585195;0
LINJE;44;24.6;3.1;169.3;51.0;18.5;bygg+veg;674548;674553;6580406;6580426;674550;6580416;0
LINJE;161;77.3;13.6;52.1;50.5;9.5;veg;666616;666677;6575132;6575178;666644;6575158;1
LINJE;58;35.3;2.8;77.1;50.5;18.5;bygg+veg;674570;674598;6580472;6580480;674584;6580476;0
LINJE;59;36.3;3.0;48.8;50.0;12.5;veg;666537;666561;6575063;6575083;666548;6575073;0
LINJE;652;69.1;15.3;98.2;49.0;8.0;bygg+veg;669014;669074;6584993;6585014;669044;6585003;0
LINJE;194;72.1;5.0;66.9;49.0;15.0;bygg+veg;670401;670458;6584559;6584587;670431;6584573;0
LINJE;31;18.3;2.7;155.7;49.0;20.0;veg;675715;675722;6578157;6578171;675719;6578165;0
LINJE;174;65.2;10.0;131.5;48.5;18.5;bygg;675531;675573;6576754;6576795;675552;6576768;0
LINJE;276;108.5;4.0;68.6;48.0;8.5;bygg+veg;666139;666225;6580533;6580568;666184;6580551;0
LINJE;30;19.0;2.4;99.2;47.5;19.5;veg;676979;676994;6578624;6578627;676986;6578625;0
LINJE;103;39.2;9.4;116.9;47.5;12.0;bygg+veg;677613;677649;6576370;6576389;677633;6576380;0
LINJE;55;23.3;3.5;90.3;47.5;23.0;veg;677230;677251;6583242;6583245;677240;6583244;0
LINJE;136;60.3;4.0;112.1;47.0;10.0;bygg+veg;676872;676921;6578681;6578702;676894;6578692;1
LINJE;240;112.8;4.1;21.3;45.5;11.0;bygg+veg;673871;673907;6583465;6583554;673890;6583512;0
LINJE;63;21.2;4.1;178.1;45.5;18.5;bygg;675529;675533;6576797;6576816;675531;6576806;0
LINJE;56;35.5;2.7;179.1;45.5;12.0;veg;677633;677635;6576390;6576419;677634;6576404;0
LINJE;58;22.3;4.0;119.7;44.5;19.5;bygg+veg;670740;670757;6584937;6584948;670749;6584943;0
LINJE;70;19.3;5.4;107.1;44.5;9.0;veg;666199;666215;6579949;6579958;666207;6579954;0
LINJE;54;27.7;3.1;55.0;44.5;13.0;bygg+veg;674035;674055;6576780;6576794;674045;6576786;0
LINJE;104;37.0;5.8;55.6;44.0;17.0;bygg;672185;672214;6582833;6582854;672198;6582842;0
LINJE;38;25.8;2.3;120.5;44.0;20.0;bygg+veg;672557;672576;6582799;6582810;672566;6582805;0
LINJE;111;25.4;7.2;35.9;43.5;21.5;veg;673046;673063;6578065;6578085;673055;6578075;0
LINJE;30;18.5;2.8;48.2;43.5;11.5;veg;666592;666604;6575112;6575122;666598;6575117;0
LINJE;25;19.0;3.0;50.8;43.5;11.5;veg;666580;666592;6575101;6575110;666585;6575106;1
LINJE;151;27.5;7.7;6.7;43.0;17.0;bygg+veg;674874;674882;6579680;6579706;674878;6579693;0
LINJE;113;53.1;15.1;131.4;43.0;4.0;veg;675418;675455;6584372;6584411;675440;6584389;0
LINJE;53;28.2;4.8;98.4;43.0;20.5;bygg+veg;675610;675634;6583785;6583791;675621;6583787;0
LINJE;34;25.2;2.1;73.7;43.0;20.5;bygg;673254;673274;6581077;6581084;673264;6581080;0
LINJE;38;19.4;3.8;60.0;42.5;8.0;veg;676857;676871;6584925;6584934;676865;6584930;1
LINJE;153;68.2;3.5;129.3;42.5;11.5;bygg+veg;670536;670583;6577191;6577230;670558;6577212;0
LINJE;49;33.9;2.3;150.2;42.5;22.5;bygg;673647;673662;6580995;6581020;673655;6581008;0
LINJE;215;45.3;10.6;23.0;42.0;18.0;bygg;677500;677521;6578367;6578401;677510;6578385;0
LINJE;196;86.3;4.1;71.1;42.0;17.5;bygg+veg;678516;678585;6579547;6579573;678555;6579561;0
